Data;Nome do evento;Local;Tipo de evento;Tipo de testagem;Tipo de Intervenção;Tamanho estimado (faixa);Tamanho estimado (numero inteiro);no. de pessoas que pegaram o contato (publico de interesse);12/31/2021;nº de pessoas de deram o contatos (público de interesse)
04/19/2019;Helipa na Cantho Club;Largo do Arouche;Fechado e pago;Autoteste;Mista;;300;;;9
05/10/2019;Helipa no Bar Verde;Rua Peixoto Gomide;Fechado e pago;Autoteste;Mista;;700;;;14
05/18/2019;Helipa na Virada Cultural;Largo da Bolsa - Centro SP;Aberto e gratuito;Autoteste;Mista;;7000;;;55
06/02/2019;Domingo no MASP;MASP e Av. Paulista;Aberto e gratuito;Autoteste;Mista;;20;;;1
06/07/2019;Helipa no Bar Verde;Rua Peixoto Gomide;Fechado e pago;Autoteste;Mista;;800;;;19
06/16/2019;Domingo no MASP;MASP e Av. Paulista;Aberto e gratuito;TR e Autoteste;Mista;;50;;;2
08/29/2019;Sem evento;Void/república e Roosevelt;Aberto e gratuito;Autoteste;Individual;51 a 500 pessoas;250;;;1
08/30/2019;Sem evento;Roosevelt e Augusta/Peixoto;Aberto e gratuito;Não foi ofertada testagem;Individual;51 a 500 pessoas;250;;;1
08/31/2019;Sem evento;Centro Cultural São Paulo;Aberto e gratuito;Não foi ofertada testagem;Individual;51 a 500 pessoas;250;;;5
09/01/2019;K.O - 7º Edição;Centro Cultural São Paulo;Aberto e gratuito;Não foi ofertada testagem;Individual;51 a 500 pessoas;250;;;1
09/07/2019;Sem evento;Centro Cultural São Paulo;Aberto e gratuito;Não foi ofertada testagem;Individual;51 a 500 pessoas;250;;;0
09/08/2019;Sem evento;Parque Ibirapuera;Aberto e gratuito;Não foi ofertada testagem;Individual;Acima de 500 pessoas;500;;;0
09/13/2019;Sem evento;Roosevelt;Aberto e gratuito;Não foi ofertada testagem;Individual;51 a 500 pessoas;250;;;5
09/14/2019;Sem evento;CCSP;Aberto e gratuito;Não foi ofertada testagem;Individual;51 a 500 pessoas;250;;;1
09/14/2019;Sem evento;Paulista;Aberto e gratuito;Não foi ofertada testagem;Individual;Acima de 500 pessoas;500;;;4
09/15/2019;Desmanche ;Augusta/Roosevelt;Fechado e gratuito;Não foi ofertada testagem;Individual;0 a 50 pessoas;25;;;1 (abordado na Roosevelt)
09/20/2019;;;;;;;;;;0
09/21/2019;Sem evento;Paulista;Aberto e gratuito;Não foi ofertada testagem;Individual;Acima de 500 pessoas;500;;;0
09/22/2019;;;;;;;;;;0
09/28/2019;;;;;;;;;;1
09/28/2019;SP na Rua;República e arredores;Aberto e gratuito;Autoteste;Coletiva;Acima de 500 pessoas;500;;;7
10/05/2019;Sem evento;Roosevelt/Vieira;Aberto e gratuito;Não foi ofertada testagem;Individual;51 a 500 pessoas;250;;;0
10/06/2019;Sem evento;ccsp, masp e paulista;Aberto e gratuito;Não foi ofertada testagem;Individual;Acima de 500 pessoas;500;;;8
10/06/2019;Sem evento;Villa Lobos ;Aberto e gratuito;Não foi ofertada testagem;Individual;Acima de 500 pessoas;500;;;0
10/12/2019;Sem evento;Roosevelt;Aberto e gratuito;Não foi ofertada testagem;Individual;51 a 500 pessoas;250;;;1 (por app)
10/13/2019;Sem evento;Paulista;Aberto e gratuito;Não foi ofertada testagem;Individual;Acima de 500 pessoas;500;;;
10/26/2019;Festa Tesãozinho;Pça Dom Orione - Bela Vista;Aberto e gratuito;Autoteste;Coletiva;51 a 500 pessoas;250;;;0
10/27/2019;Salem Kiki Ball;Esponja;Fechado e gratuito;Não foi ofertada testagem;Coletiva;51 a 500 pessoas;250;;;1
11/07/2019;Slam Marginália Wand;Mosteiro da S Bento;Aberto e gratuito;Não foi ofertada testagem;Coletiva;0 a 50 pessoas;25;;;0
