Data;Perfil;Início;Término;Total (em horas);Região;Bairro;Contatos receptivos;Nº de respostas aos contatos receptivos;Contatos ativos;Nº de pessoas que responderam ao contato ativo;Nº total de pessoas que responderam ao contato ativo e receptivo;Nº total de pessoas que interagiram;Nº total de HSH/ Trans & 15-19 identificadas;Nº de agendados;Observação;Visto Coordenação;Falhas identificadas
08/13/2020;Instagram;06:00:00 PM;09:00:00 PM;03:00:00 AM;GSP;;0;0;3;2;2;0;1;0;Fiz busca de pessoas que possam interessar ao perfil e respondi um comentário que perguntava o que é PrEP por DM (contato ativo);;
08/13/2020;Instagram;09:00:00 PM;10:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;0;0;0;Interação na Live da Alina Durso;;
08/14/2020;Instagram;11:00:00 AM;03:00:00 PM;04:00:00 AM;GSP;;0;0;4;3;3;2;0;0;;;
08/17/2020;Instagram;04:00:00 PM;08:00:00 PM;04:00:00 AM;GSP;;1;1;0;0;1;1;0;0;;;
08/18/2020;Instagram;01:00:00 PM;04:00:00 PM;03:00:00 AM;GSP;;0;0;3;0;0;0;0;0;"Atualizei o cadastro de ""Maia Jaci Sakai Caos"" no SISPREP colocando o número de whatsapp enviado por DM";;
08/19/2020;Instagram;03:00:00 PM;07:00:00 PM;04:00:00 AM;GSP;;0;0;0;0;0;2;0;0;;;
08/20/2020;Instagram;02:00:00 PM;06:00:00 PM;04:00:00 AM;GSP;;0;0;2;0;0;0;1;0;"Interagi no twitter e mandei uma mensagem ""teste"" para ver a adesão/resposta. ";;
08/21/2020;Instagram;12:00:00 PM;02:00:00 PM;02:00:00 AM;GSP;;1;1;0;0;1;0;0;0;;;
08/24/2020;Instagram;04:00:00 PM;08:00:00 PM;04:00:00 AM;GSP;;2;2;0;0;2;3;2;1;;;
08/25/2020;Instagram;05:00:00 PM;07:00:00 PM;02:00:00 AM;GSP;;0;0;0;0;0;0;0;0;Reunião da Comunicação ;;
08/26/2020;Instagram;12:00:00 PM;04:00:00 PM;04:00:00 AM;GSP;;2;2;0;0;2;0;0;0;;;
08/27/2020;Instagram;02:00:00 PM;06:00:00 PM;04:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
08/28/2020;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;2;2;0;0;2;2;0;0;Encaminhamento de demanda de teste e tratamento de IST;;
08/28/2020;Instagram;04:00:00 PM;05:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
08/31/2020;Instagram;04:00:00 PM;05:30:00 PM;01:30:00 AM;GSP;;0;0;0;0;0;0;0;0;Entrei em contato com Kawan para verificar se o mesmo conversou com o Ex, para que assim pudéssemos recrutá-lo e agendendar os dois. ;;
09/01/2020;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;0;0;0;Reunião com Audre para organização de atividade de intervenção coletiva;;
09/04/2020;Instagram;12:00:00 PM;02:00:00 PM;02:00:00 AM;GSP;;0;0;0;0;0;0;0;0;Leitura de materiais sobre as estruturas dos conteúdos produzidos e divulgados nas mídias sociais da @vcprepsp;;
09/04/2020;Instagram;04:00:00 PM;06:00:00 PM;02:00:00 AM;GSP;;0;0;0;0;0;0;0;0;Leitura do novo manual de educadore par e reunião com Dante para proposta sobre o IGTV de BDSM;;
09/05/2020;Instagram;02:00:00 PM;03:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;0;0;0;Elaboração e pré-edição do vídeo pílula sobre Sexo e COVID (levei uma hora pois tive dificuldades em conseguir encontrar uma maneira de gravar com o filtro.);;
09/06/2020;Instagram;11:30:00 PM;02:00:00 AM;-21:30:00;GSP;;0;0;0;0;0;0;0;0;Roteirização e orientações ao participante sobre como fazer a gravação do vídeo sobre BDSM;;
09/10/2020;Reuniões;12:00:00 PM;01:30:00 PM;01:30:00 AM;;;;;;;0;;;;Reunião de vinculação com Paula, Paola e Laura para inserção do novo processo de trabalho ;;
09/11/2020;Reuniões;05:00:00 PM;06:00:00 PM;01:00:00 AM;;;;;;;0;;;;Reunião com Moira e Paola para apresentações pessoais e do processo de trabalho. ;;
09/15/2020;Organização da Formativa;01:00:00 PM;02:30:00 PM;01:30:00 AM;;;;;;;0;;;;Reunião com Jai e Rapha acerca da Formativa/Roda de conversa sobre Gênero e Expressão de Gênero;;
09/17/2020;Reuniões;12:00:00 PM;01:00:00 PM;01:00:00 AM;;;;;;;0;;;;Reunião com Paula, Sol e Paola para confirmar encaminhamentos feitos na reunião do dia 10/09, bem como efetuar novos encaminhamentos. ;;
09/18/2020;Organização da Formativa;01:00:00 PM;03:30:00 PM;02:30:00 AM;;;;;;;0;;;;Contato com ês convidades acerca dos horários da formativa. ;;
09/21/2020;Organização da Formativa;04:00:00 PM;09:00:00 PM;05:00:00 AM;;;;;;;0;;;;Contato com convidades para organizar horários e dias, bem como retirar dúvidas. ;;
09/25/2020;Organização da Formativa;01:30:00 PM;05:30:00 PM;04:00:00 AM;;;;;;;0;;;;;;
09/29/2020;Instagram;11:00:00 AM;02:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;;;;;;
09/30/2020;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
10/01/2020;Instagram;01:00:00 PM;05:00:00 PM;04:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
10/02/2020;Instagram;12:00:00 PM;04:00:00 PM;04:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
10/06/2020;Reuniões;05:00:00 PM;07:00:00 PM;02:00:00 AM;;;;;;;0;;;;Reunião de Comunicação;;
10/07/2020;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
10/09/2020;Instagram;01:00:00 PM;06:00:00 PM;05:00:00 AM;GSP;;3;3;0;0;3;3;3;2;;;
10/13/2020;Instagram;05:00:00 PM;08:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;Recrutamento no Instagram;;
10/14/2020;Instagram;11:30:00 AM;03:00:00 PM;03:30:00 AM;GSP;;1;1;0;0;1;3;2;1;Agendamento de Wallef Wallace Allyene Gonzaga;;
10/15/2020;Instagram;11:00:00 AM;04:00:00 PM;05:00:00 AM;GSP;;0;0;0;0;0;0;0;0;Recrutamento no Instagram. Encaminhamento de Kawan Camara Borges para que Eduardo faça contato por Whatsapp;;
10/16/2020;Instagram;12:00:00 PM;04:00:00 PM;04:00:00 AM;GSP;;0;0;0;0;0;0;0;0;Kawan agendado pelo Eduardo, a navegação será feita pelo Yuri. ;;
10/19/2020;Instagram;02:30:00 PM;06:00:00 PM;03:30:00 AM;GSP;;4;4;0;0;4;4;4;1;"Agendamento de Gabriel Barboza; Atualização da planilha de trabalho. ";;
10/22/2020;Instagram;01:00:00 PM;07:30:00 PM;06:30:00 AM;GSP;;6;6;0;0;6;6;6;1;Gravação do vídeo no CTA (até às 17h) e depois Recrutamento no IG Polonia agendada e Renan encaminhado para receber kit;;
10/23/2020;Instagram;12:00:00 PM;04:00:00 PM;04:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
