Type of cost;Costing items class;Description of costing item;"Chatbot strategy
(10 participants)";"Dating apps strategy 
(262 participants)";"Social media strategy
(59 participants)";"Socialization places strategy
(34 participants)";"NGOs strategy
(17 participants)";"Direct referrals strategy
(116 participants)"
Fixed cost;IT equipment;Laptop;1881.595637;1881.595637;1881.595637;1881.595637;1881.595637;1881.595637
Fixed cost;IT equipment;Modem;13.50806156;13.50806156;13.50806156;13.50806156;13.50806156;13.50806156
Fixed cost;IT equipment;SIM cards;1.126297518;1.126297518;1.126297518;1.126297518;1.126297518;1.126297518
Fixed cost;IT equipment;Smartphone;231.3707939;231.3707939;231.3707939;231.3707939;231.3707939;231.3707939
Fixed cost;IT equipment;Speaker;0;0;0;0;0;0
Fixed cost;IT equipment;Tablet;267.78174;267.78174;267.78174;267.78174;267.78174;267.78174
Fixed cost;Amanda Selfie;Development;24760.52463;0;0;0;0;0
Fixed cost;Amanda Selfie;Hosting;5360.653582;0;0;0;0;0
Fixed cost;Amanda Selfie;Improvement;14856.31478;0;0;0;0;0
Fixed cost;Amanda Selfie;Migration;0;0;0;0;0;0
Variable cost;Personnel;Content production;0;0;711.8650831;0;0;0
Variable cost;Personnel;Counselor/nurse;0;0;0;0;0;0
Variable cost;Personnel;Graphic designer;0;0;0;0;0;0
Variable cost;Personnel;Illustrator;887.9399249;887.9399249;887.9399249;887.9399249;887.9399249;887.9399249
Variable cost;Personnel;Language analyst;0;0;0;0;0;0
Variable cost;Personnel;LGBTQIA + artists and speakers;317.7600661;317.7600661;740.7523618;957.4069523;317.7600661;317.7600661
Variable cost;Personnel;Marketing;18229.93626;6809.144273;25689.0443;649.9637715;0;0
Variable cost;Personnel;Photographer;0;0;0;0;0;0
Variable cost;Personnel;Press officer;0;0;0;0;0;0
Variable cost;Personnel;Prevention agent;0;44022.14941;3972.000826;8666.18362;0;0
Variable cost;Personnel;Receptionist;0;0;0;0;0;5753.551524
Variable cost;Personnel;Recruitment agent and peer-educators;0;27932.96685;35832.60589;24394.2752;0;0
Variable cost;Personnel;Seamstress;0;0;0;0;0;0
Variable cost;Personnel;Technical support;0;0;0;0;0;0
Variable cost;Personnel;Writer;0;0;0;23483.73786;0;0
Variable cost;Materials and tests;Condom;1.540654866;33.83938366;7.923367881;5.172198478;0;12.32523893
Variable cost;Materials and tests;Disposable enema;26.48000551;581.6144067;136.1828855;88.89716134;0;211.8400441
Variable cost;Materials and tests;Lubricant;0.7703274329;16.91969183;3.961683941;2.586099239;0;6.162619463
Variable cost;Materials and tests;Promotional material;0;114.0359718;114.0359718;874.3904156;0;2685.485234
Variable cost;Materials and tests;Testing;167.5462167;3680.032973;861.6662571;562.4765845;0;1340.369733
Variable cost;Transportation and dispatch;Transportation;0;0;0;76.3759016;0;201.3443328
Variable cost;Transportation and dispatch;Dispatch;0;0;0;1246.486077;0;0
Variable cost;Subscriptions and boosts;Social media;789.5099616;704.498827;2309.125259;0;0;0
Variable cost;Subscriptions and boosts;Office suite;36.96883886;36.96883886;36.96883886;36.96883886;36.96883886;36.96883886
Variable cost;Subscriptions and boosts;Phone plan;17.19480877;17.19480877;17.19480877;17.19480877;17.19480877;17.19480877
