ANO;CATEGORIA;SUBCATEGORIA;CHATBOT;DATING APPS;SOCIAL MEDIA;SOCIALIZATION PLACES;NGOS;DIRECT REFERRALS
2020;Personnel;LGBTQIA + artists and speakers;44;44;44;44;44;44
2019;Personnel;Photographer;400;0;0;0;0;0
2019;Personnel;Photographer;0;0;0;300;0;0
2019;Personnel;Seamstress;150;0;0;0;0;0
2020;Personnel;LGBTQIA + artists and speakers;44;44;44;44;44;44
2021;Personnel;LGBTQIA + artists and speakers;0;0;0;160;0;0
2021;Personnel;LGBTQIA + artists and speakers;44;44;44;44;44;44
2019;Personnel;Recruitment agent and peer-educators;0;0;0;250;0;0
2020;Personnel;LGBTQIA + artists and speakers;0;0;0;460;0;0
2019;Personnel;Technical support;366.666666666667;366.666666666667;366.666666666667;366.666666666667;366.666666666667;366.666666666667
2019;Personnel;Graphic designer;500;0;0;0;0;0
2019;Personnel;Content production;0;0;1000;0;0;0
2021;Personnel;LGBTQIA + artists and speakers;26.6666666666667;26.6666666666667;26.6666666666667;26.6666666666667;26.6666666666667;26.6666666666667
2019;Personnel;LGBTQIA + artists and speakers;0;0;0;175;0;0
2019;Personnel;LGBTQIA + artists and speakers;0;0;0;350;0;0
2019;Personnel;LGBTQIA + artists and speakers;0;0;0;700;0;0
2021;Personnel;LGBTQIA + artists and speakers;41.6666666666667;41.6666666666667;41.6666666666667;41.6666666666667;41.6666666666667;41.6666666666667
2019;Personnel;LGBTQIA + artists and speakers;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667
2019;Personnel;Marketing;900;900;900;900;900;900
2020;Personnel;LGBTQIA + artists and speakers;0;0;160;0;0;0
2020;Personnel;LGBTQIA + artists and speakers;44;44;44;44;44;44
2019;Personnel;LGBTQIA + artists and speakers;0;0;0;175;0;0
2019;Personnel;LGBTQIA + artists and speakers;600;0;0;0;0;0
2019;Personnel;Photographer;400;0;0;0;0;0
2019;Personnel;Prevention agent;0;0;0;250;0;0
2019;Personnel;Prevention agent;0;0;0;250;0;0
2019;Personnel;Counselor/nurse;500;0;0;0;0;0
2019;Personnel;Recruitment agent and peer-educators;0;0;0;250;0;0
2020;Personnel;LGBTQIA + artists and speakers;0;0;250;0;0;0
2019;Personnel;LGBTQIA + artists and speakers;200;0;0;0;0;0
2020;Personnel;LGBTQIA + artists and speakers;0;0;0;160;0;0
2019;Personnel;Press officer;5362;0;0;0;0;0
2019;Personnel;LGBTQIA + artists and speakers;600;0;0;0;0;0
2021;Personnel;LGBTQIA + artists and speakers;160;0;0;0;0;0
2019;Personnel;Illustrator;533.333333333333;533.333333333333;533.333333333333;533.333333333333;533.333333333333;533.333333333333
2019;Personnel;Illustrator;100;100;100;100;100;100
2019;Personnel;Illustrator;366.666666666667;366.666666666667;366.666666666667;366.666666666667;366.666666666667;366.666666666667
2019;Personnel;Illustrator;366.666666666667;366.666666666667;366.666666666667;366.666666666667;366.666666666667;366.666666666667
2019;Personnel;Illustrator;100;100;100;100;100;100
2019;Personnel;Illustrator;100;100;100;100;100;100
2020;Personnel;LGBTQIA + artists and speakers;44;44;44;44;44;44
2021;Personnel;LGBTQIA + artists and speakers;44;44;44;44;44;44
2019;Personnel;Recruitment agent and peer-educators;0;0;0;500;0;0
2019;Personnel;Recruitment agent and peer-educators;0;0;0;300;0;0
2019;Personnel;LGBTQIA + artists and speakers;100;100;100;100;100;100
2019;Personnel;Content production;0;0;0;600;0;0
2019;Personnel;Content production;0;0;0;600;0;0
2019;Personnel;Content production;600;0;0;0;0;0
2020;Personnel;LGBTQIA + artists and speakers;44;44;44;44;44;44
2019;Personnel;Graphic designer;358.333333333333;358.333333333333;358.333333333333;358.333333333333;358.333333333333;358.333333333333
2019;Personnel;Content production;0;0;0;900;0;0
2019;Personnel;Prevention agent;0;0;0;600;0;0
2019;Personnel;LGBTQIA + artists and speakers;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667
2019;Personnel;Technical support;0;0;0;0;0;1015
2019;Personnel;LGBTQIA + artists and speakers;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667
2020;Personnel;LGBTQIA + artists and speakers;44;44;44;44;44;44
2020;Personnel;LGBTQIA + artists and speakers;44;44;44;44;44;44
2021;Personnel;LGBTQIA + artists and speakers;250;0;0;0;0;0
2019;Personnel;Recruitment agent and peer-educators;0;0;0;230;0;0
2019;Personnel;Recruitment agent and peer-educators;0;0;0;887.64;0;0
2021;Materials and tests;Promotional material;0;0;0;150;0;0
2019;Materials and tests;Promotional material;0;0;0;124;0;0
2019;Materials and tests;Testing;23.2;0;69.6;162.4;0;46.4
2020;Materials and tests;Testing;162.4;3567;835.2;545.2;0;1299.2
2021;Materials and tests;Testing;23.2;2453.4;626.4;858.4;69.6;1368.8
2021;Materials and tests;Promotional material;0;0;0;473;0;0
2021;Materials and tests;Promotional material;0;0;0;487.78;0;0
2021;Materials and tests;Promotional material;0;0;0;187.5;0;0
2019;Materials and tests;Promotional material;0;0;0;834;0;0
2020;Materials and tests;Promotional material;0;13.3333333333333;13.3333333333333;13.3333333333333;0;0
2020;Materials and tests;Promotional material;0;97.2;97.2;97.2;0;0
2021;Materials and tests;Promotional material;0;168;168;168;0;0
2021;Materials and tests;Promotional material;0;0;0;0;0;600
2020;Materials and tests;Promotional material;0;0;0;0;0;208
2019;Materials and tests;Promotional material;0;146.666666666667;146.666666666667;146.666666666667;0;0
2021;Materials and tests;Promotional material;0;151.666666666667;151.666666666667;151.666666666667;0;0
2019;Materials and tests;Promotional material;0;0;0;60;0;0
2021;Materials and tests;Promotional material;0;0;0;0;0;198
2020;Materials and tests;Promotional material;0;0;0;0;0;320
2020;Materials and tests;Promotional material;0;0;0;0;0;700
2021;Materials and tests;Promotional material;0;0;0;0;0;1090
2020;Materials and tests;Promotional material;0;0;0;0;0;1341
2021;Materials and tests;Promotional material;0;0;0;0;0;4314
2019;Materials and tests;Disposable enema;3.66666666666667;0;11;25.6666666666667;0;7.33333333333333
2020;Materials and tests;Disposable enema;25.6666666666667;563.75;132;86.1666666666666;0;205.333333333333
2021;Materials and tests;Disposable enema;3.66666666666667;387.75;99;135.666666666667;11;216.333333333333
2019;Materials and tests;Promotional material;2195;0;0;0;0;0
2019;Materials and tests;Promotional material;0;0;0;2450;0;0
2021;Materials and tests;Promotional material;0;0;0;0;0;338
2020;Materials and tests;Promotional material;0;0;0;719;0;0
2021;Materials and tests;Promotional material;0;0;0;0;0;699.75
2019;Materials and tests;Lubricant;0.106666666666667;0;0.32;0.746666666666667;0;0.213333333333333
2020;Materials and tests;Lubricant;0.746666666666667;16.4;3.84;2.50666666666667;0;5.97333333333333
2021;Materials and tests;Lubricant;0.106666666666667;11.28;2.88;3.94666666666667;0.32;6.29333333333333
2020;Materials and tests;Promotional material;0;0;0;18;0;0
2021;Materials and tests;Promotional material;0;0;0;0;0;26.8
2020;Materials and tests;Promotional material;0;0;0;0;0;34
2021;Materials and tests;Promotional material;0;0;0;0;0;835
2019;Materials and tests;Promotional material;0;0;0;200;0;0
2019;Materials and tests;Promotional material;0;0;0;166.5;0;0
2021;Materials and tests;Promotional material;0;0;0;0;0;102
2021;Materials and tests;Promotional material;0;0;0;0;0;149.7
2019;Materials and tests;Promotional material;0;0;0;0;0;183.15
2019;Materials and tests;Promotional material;0;0;0;0;0;136.53
2019;Materials and tests;Condom;0.106666666666667;0;0.32;0.746666666666667;0;0.213333333333333
2020;Materials and tests;Condom;0.746666666666667;16.4;3.84;2.50666666666667;0;5.97333333333333
2021;Materials and tests;Condom;0.106666666666667;11.28;2.88;3.94666666666667;0.32;6.29333333333333
2019;Materials and tests;Condom;0.106666666666667;0;0.32;0.746666666666667;0;0.213333333333333
2020;Materials and tests;Condom;0.746666666666667;16.4;3.84;2.50666666666667;0;5.97333333333333
2021;Materials and tests;Condom;0.106666666666667;11.28;2.88;3.94666666666667;0.32;6.29333333333333
2021;Materials and tests;Promotional material;0;0;0;0;0;149.5
2021;Materials and tests;Promotional material;0;0;0;0;0;134.7
2021;IT equipment;Speaker;0;0;0;0;0;104.803493449782
2021;IT equipment;Laptop;214.531659388646;214.531659388646;214.531659388646;214.531659388646;214.531659388646;214.531659388646
2019;IT equipment;Laptop;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613
2020;IT equipment;Laptop;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613
2021;IT equipment;Laptop;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613;345.434861717613
2020;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2021;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2020;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2021;IT equipment;Laptop;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508;231.740538573508
2020;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2021;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2020;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2021;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2020;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2021;IT equipment;Smartphone;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942;43.9614264919942
2019;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2020;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2019;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2020;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2019;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2020;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518;30.7933042212518
2021;IT equipment;Smartphone;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105;65.4694323144105
2021;IT equipment;Smartphone;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764;45.8187772925764
2019;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2021;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2019;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2021;IT equipment;Tablet;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175;46.6157205240175
2020;IT equipment;Tablet;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441
2021;IT equipment;Tablet;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441
2020;IT equipment;Tablet;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441
2021;IT equipment;Tablet;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441;36.546943231441
