Type of cost;Costing items class;Description of costing item;"Chatbot strategy
(10 participants)";"Dating apps strategy 
(262 participants)";"Social media strategy
(59 participants)";"Socialization places strategy
(34 participants)";"NGOs strategy
(17 participants)";"Direct referrals strategy
(116 participants)"
Fixed cost;IT equipment;Laptop;1128.580422;1128.580422;1128.580422;1128.580422;1128.580422;1128.580422
Fixed cost;IT equipment;Modem;0;0;0;0;0;0
Fixed cost;IT equipment;SIM cards;0;0;0;0;0;0
Fixed cost;IT equipment;Smartphone;92.37991266;92.37991266;92.37991266;92.37991266;92.37991266;92.37991266
Fixed cost;IT equipment;Speaker;0;0;0;0;0;0
Fixed cost;IT equipment;Tablet;186.4628821;186.4628821;186.4628821;186.4628821;186.4628821;186.4628821
Fixed cost;Amanda Selfie;Development;104000;0;0;0;0;0
Fixed cost;Amanda Selfie;Hosting;0;0;0;0;0;0
Fixed cost;Amanda Selfie;Improvement;24480;0;0;0;0;0
Fixed cost;Amanda Selfie;Migration;0;0;0;0;0;0
Variable cost;Personnel;Content production;600;0;1000;2100;0;0
Variable cost;Personnel;Counselor/nurse;500;0;0;0;42000;0
Variable cost;Personnel;Graphic designer;858.3333333;358.3333333;358.3333333;358.3333333;358.3333333;358.3333333
Variable cost;Personnel;Illustrator;2137.333333;2137.333333;2137.333333;2137.333333;2137.333333;2137.333333
Variable cost;Personnel;Language analyst;16170.41;0;0;0;0;0
Variable cost;Personnel;LGBTQIA + artists and speakers;1754.54;354.54;354.54;1754.54;354.54;354.54
Variable cost;Personnel;Marketing;20775;900;3900;900;900;14925
Variable cost;Personnel;Photographer;800;0;0;300;0;0
Variable cost;Personnel;Press officer;5362;0;0;0;0;0
Variable cost;Personnel;Prevention agent;0;0;0;11700;0;0
Variable cost;Personnel;Receptionist;0;0;0;0;0;5512.42
Variable cost;Personnel;Recruitment agent and peer-educators;0;1125;1125;8487.64;0;0
Variable cost;Personnel;Seamstress;150;0;0;0;0;0
Variable cost;Personnel;Technical support;437.4966667;437.4966667;437.4966667;437.4966667;437.4966667;1452.496667
Variable cost;Personnel;Writer;0;0;0;21010;0;0
Variable cost;Materials and tests;Condom;0.2133333333;0;0.64;1.493333333;0;0.4266666667
Variable cost;Materials and tests;Disposable enema;3.666666667;0;11;25.66666667;0;7.333333333
Variable cost;Materials and tests;Lubricant;0.1066666667;0;0.32;0.7466666667;0;0.2133333333
Variable cost;Materials and tests;Promotional material;2195;146.6666667;146.6666667;3981.166667;0;319.68
Variable cost;Materials and tests;Testing;23.2;0;69.6;162.4;0;46.4
Variable cost;Transportation and dispatch;Transportation;0;0;0;54.89;0;0
Variable cost;Transportation and dispatch;Dispatch;0;0;0;949.4;0;0
Variable cost;Subscriptions and boosts;Social media;0;0;0;0;0;0
Variable cost;Subscriptions and boosts;Office suite;94.5;94.5;94.5;94.5;94.5;94.5
Variable cost;Subscriptions and boosts;Phone plan;0;0;0;0;0;0
