Type of cost;Class of costing item;Description of costing item;"Chatbot strategy
(10 participants)";"Dating apps strategy 
(262 participants)";"Social media strategy
(59 participants)";"Socialization places strategy
(34 participants)";"NGOs strategy
(17 participants)";"Direct referrals strategy
(116 participants)"
Fixed cost;IT equipment;Laptop;1823.802038;1823.802038;1823.802038;1823.802038;1823.802038;1823.802038
Fixed cost;IT equipment;Modem;13.09315866;13.09315866;13.09315866;13.09315866;13.09315866;13.09315866
Fixed cost;IT equipment;SIM cards;1.091703057;1.091703057;1.091703057;1.091703057;1.091703057;1.091703057
Fixed cost;IT equipment;Smartphone;224.2641921;224.2641921;224.2641921;224.2641921;224.2641921;224.2641921
Fixed cost;IT equipment;Speaker;0;0;0;0;0;0
Fixed cost;IT equipment;Tablet;259.5567686;259.5567686;259.5567686;259.5567686;259.5567686;259.5567686
Fixed cost;Amanda Selfie;Development;24000;0;0;0;0;0
Fixed cost;Amanda Selfie;Hosting;5196;0;0;0;0;0
Fixed cost;Amanda Selfie;Improvement;14400;0;0;0;0;0
Fixed cost;Amanda Selfie;Migration;0;0;0;0;0;0
Variable cost;Personnel;Content production;0;0;690;0;0;0
Variable cost;Personnel;Counselor/nurse;0;0;0;0;0;0
Variable cost;Personnel;Graphic designer;0;0;0;0;0;0
Variable cost;Personnel;Illustrator;860.6666667;860.6666667;860.6666667;860.6666667;860.6666667;860.6666667
Variable cost;Personnel;Language analyst;0;0;0;0;0;0
Variable cost;Personnel;LGBTQIA + artists and speakers;308;308;718;928;308;308
Variable cost;Personnel;Marketing;17670;6600;24900;630;0;0
Variable cost;Personnel;Photographer;0;0;0;0;0;0
Variable cost;Personnel;Press officer;0;0;0;0;0;0
Variable cost;Personnel;Prevention agent;0;42670;3850;8400;0;0
Variable cost;Personnel;Receptionist;0;0;0;0;0;5576.83
Variable cost;Personnel;Recruitment agent and peer-educators;0;27075;34732;23645;0;0
Variable cost;Personnel;Seamstress;0;0;0;0;0;0
Variable cost;Personnel;Technical support;0;0;0;0;0;0
Variable cost;Personnel;Writer;0;0;0;22762.43;0;0
Variable cost;Materials and tests;Condom;1.493333333;32.8;7.68;5.013333333;0;11.94666667
Variable cost;Materials and tests;Disposable enema;25.66666667;563.75;132;86.16666667;0;205.3333333
Variable cost;Materials and tests;Lubricant;0.7466666667;16.4;3.84;2.506666667;0;5.973333333
Variable cost;Materials and tests;Promotional material;0;110.5333333;110.5333333;847.5333333;0;2603
Variable cost;Materials and tests;Testing;162.4;3567;835.2;545.2;0;1299.2
Variable cost;Transportation and dispatch;Transportation;0;0;0;74.03;0;195.16
Variable cost;Transportation and dispatch;Dispatch;0;0;0;1208.2;0;0
Variable cost;Subscriptions and boosts;Social media;765.26;682.86;2238.2;0;0;0
Variable cost;Subscriptions and boosts;Office suite;35.83333333;35.83333333;35.83333333;35.83333333;35.83333333;35.83333333
Variable cost;Subscriptions and boosts;Phone plan;16.66666667;16.66666667;16.66666667;16.66666667;16.66666667;16.66666667
