ATIVIDADE;CATEGORIA;SUBCATEGORIA;DATA;ANO;VALOR;CHATBOT;DATING APPS;SOCIAL MEDIA;SOCIALIZATION PLACES;NGOS;DIRECT REFERRALS;;;COMENTÁRIOS;RECURSO;DESPESA
Palestrante;Personnel;LGBTQIA + artists and speakers;08/12/2020 a 08/12/2020;2020;264;44;44;44;44;44;44;;;Todas;;
Fotógrafo;Personnel;Photographer;21/06/2019 a 21/06/2019;2019;400;400;0;0;0;0;0;;;;Amanda Selfie;Festa de lançamento (Pajubá, bottons, alpha grafics, autonomos pagos para palestra, roupa da Amanda e performance Amanda, bolsa Lucas Raniel assessor de impressa)
Fotógrafa;Personnel;Photographer;10/05/2019 a 10/05/2019;2019;300;0;0;0;300;0;0;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Artistas contratados 
costureira;Personnel;Seamstress;17/06/2019 a 21/06/2019;2019;150;150;0;0;0;0;0;;;;Amanda Selfie;Festa de lançamento (Pajubá, bottons, alpha grafics, autonomos pagos para palestra, roupa da Amanda e performance Amanda, bolsa Lucas Raniel assessor de impressa)
Palestrante;Personnel;LGBTQIA + artists and speakers;13/10/2020 a 13/10/2020;2020;264;44;44;44;44;44;44;;;todas;;
Palestrante;Personnel;LGBTQIA + artists and speakers;27/02/2021 a 27/02/2021;2021;160;0;0;0;160;0;0;;;sociab;;
Palestrante;Personnel;LGBTQIA + artists and speakers;27/07/2021 a 27/07/2021;2021;264;44;44;44;44;44;44;;;Todas;;
Testagem na rua;Personnel;Recruitment agent and peer-educators;01/04/2019 a 30/04/2019;2019;250;0;0;0;250;0;0;;;sociab;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipe (Audre, Nelsom, wand, José vargas, 
Perfomancer ;Personnel;LGBTQIA + artists and speakers;31/10/2020 a 31/20/2020;2020;460;0;0;0;460;0;0;;;sociab;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Artistas contratados 
Coleta dados de pesquisa;Personnel;Technical support;15/01/2019 a 15/02/2019;2019;2200;366.666666666667;366.666666666667;366.666666666667;366.666666666667;366.666666666667;366.666666666667;;;Todas;;
Designer gráfico;Personnel;Graphic designer;09/07/2019 a 20/07/2019;2019;500;500;0;0;0;0;0;;;AMANDA;Intervenção Coletiva centro 2019- março 2020 presencial ;Adesivo
Produção de Vídeo explicativo;Personnel;Content production;15/07/2019 a 19/07/2019;2019;1000;0;0;1000;0;0;0;;;Insta;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Artistas contratados 
Palestrante;Personnel;LGBTQIA + artists and speakers;26/02/2021 a 26/02/2021;2021;160;26.6666666666667;26.6666666666667;26.6666666666667;26.6666666666667;26.6666666666667;26.6666666666667;;;todas;;
Perfomancer ;Personnel;LGBTQIA + artists and speakers;02/06/2019 a 02/06/2019;2019;175;0;0;0;175;0;0;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Artistas contratados 
Perfomancer ;Personnel;LGBTQIA + artists and speakers;18/05/2019 a 18/05/2019;2019;350;0;0;0;350;0;0;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Artistas contratados 
Perfomancer ;Personnel;LGBTQIA + artists and speakers;07/06/2019 a 16/06/2019;2019;700;0;0;0;700;0;0;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Artistas contratados 
Palestrante;Personnel;LGBTQIA + artists and speakers;05/05/2021 a 05/05/2021;2021;250;41.6666666666667;41.6666666666667;41.6666666666667;41.6666666666667;41.6666666666667;41.6666666666667;;;todas;;
Palestrante;Personnel;LGBTQIA + artists and speakers;23/01/2019 a 23/01/2019;2019;509.08;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;;;todas;;
Coordenador do plano de comunicação;Personnel;Marketing;19/08/2019 a 20/11/2019;2019;5400;900;900;900;900;900;900;;;todas;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipe (Audre, Nelsom, wand, José vargas, 
Palestrante;Personnel;LGBTQIA + artists and speakers;13/11/2020 a 13/11/2020;2020;160;0;0;160;0;0;0;;;insta;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Artistas contratados 
Palestrante;Personnel;LGBTQIA + artists and speakers;29/09/2020 a 29/09/2020;2020;264;44;44;44;44;44;44;;;todas;;
Perfomancer ;Personnel;LGBTQIA + artists and speakers;02/06/2019 a 02/06/2019;2019;175;0;0;0;175;0;0;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Artistas contratados 
Palestrante;Personnel;LGBTQIA + artists and speakers;21/06/2019 a 21/06/2019;2019;600;600;0;0;0;0;0;;;Amanda;Amanda Selfie;Festa de lançamento (Pajubá, bottons, alpha grafics, autonomos pagos para palestra, roupa da Amanda e performance Amanda, bolsa Lucas Raniel assessor de impressa)
fotografo;Personnel;Photographer;21/06/2019 a 21/06/2019;2019;400;400;0;0;0;0;0;;;;Amanda Selfie;Festa de lançamento (Pajubá, bottons, alpha grafics, autonomos pagos para palestra, roupa da Amanda e performance Amanda, bolsa Lucas Raniel assessor de impressa)
Agente de prevenção;Personnel;Prevention agent;05/12/2019 a 07/12/2019;2019;250;0;0;0;250;0;0;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipe (Audre, Nelsom, wand, José vargas, 
Agente de prevenção;Personnel;Prevention agent;07/06/2019 a 07/06/2019;2019;250;0;0;0;250;0;0;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipe (Audre, Nelsom, wand, José vargas, 
aconselhador;Personnel;Counselor/nurse;07/06/2019 a 16/06/2019;2019;500;500;0;0;0;0;0;;;;Amanda Selfie;Festa de lançamento (Pajubá, bottons, alpha grafics, autonomos pagos para palestra, roupa da Amanda e performance Amanda, bolsa Lucas Raniel assessor de impressa)
Testagem na rua;Personnel;Recruitment agent and peer-educators;01/04/2019 a 30/04/2019;2019;250;0;0;0;250;0;0;;;sociab;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipe (Audre, Nelsom, wand, José vargas, 
Palestrante;Personnel;LGBTQIA + artists and speakers;13/11/2020 a 13/11/2020;2020;250;0;0;250;0;0;0;;;insta;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Artistas contratados 
Perfomancer ;Personnel;LGBTQIA + artists and speakers;21/06/2019 a 21/06/2019;2019;200;200;0;0;0;0;0;;;;Amanda Selfie;Festa de lançamento (Pajubá, bottons, alpha grafics, autonomos pagos para palestra, roupa da Amanda e performance Amanda, bolsa Lucas Raniel assessor de impressa)
