CONTRATOS;DATA;ANO;VALOR;CATEGORIA;SUBCATEGORIA;CHATBOT;DATING APPS;SOCIAL MEDIA;SOCIALIZATION PLACES;NGOS;DIRECT REFERRALS;COMENTÁRIOS;RECURSO;DESPESA
App cívico - Ajustes;04/01/2019;2019;4080;Amanda Selfie;Improvement;4080;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Ajustes;05/02/2019;2019;4080;Amanda Selfie;Improvement;4080;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Ajustes;06/03/2019;2019;4080;Amanda Selfie;Improvement;4080;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Ajustes;07/01/2019;2019;4080;Amanda Selfie;Improvement;4080;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Ajustes;08/01/2019;2019;4080;Amanda Selfie;Improvement;4080;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Ajustes;09/02/2019;2019;4080;Amanda Selfie;Improvement;4080;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Ajustes;04/06/2020;2020;7200;Amanda Selfie;Improvement;7200;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Ajustes;04/27/2020;2020;3600;Amanda Selfie;Improvement;3600;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Ajustes;05/24/2020;2020;3600;Amanda Selfie;Improvement;3600;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Ajustes;05/03/2021;2021;2160;Amanda Selfie;Improvement;2160;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Ajustes;07/01/2021;2021;2160;Amanda Selfie;Improvement;2160;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Ajustes;07/01/2021;2021;2160;Amanda Selfie;Improvement;2160;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Ajustes;06/01/2021;2021;2160;Amanda Selfie;Improvement;2160;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Ajustes;07/16/2021;2021;7800;Amanda Selfie;Improvement;7800;0;0;0;0;0;;Amanda Selfie;Horas de ajuste
App cívico - Desenvolvimento;12/10/2019;2019;26000;Amanda Selfie;Development;26000;0;0;0;0;0;;Amanda Selfie;Horas de desenvolvimento
App cívico - Desenvolvimento;12/21/2019;2019;22800;Amanda Selfie;Development;22800;0;0;0;0;0;;Amanda Selfie;Horas de desenvolvimento
App cívico - Desenvolvimento;01/15/2019;2019;12200;Amanda Selfie;Development;12200;0;0;0;0;0;;Amanda Selfie;Horas de desenvolvimento
App cívico - Desenvolvimento;01/29/2019;2019;31000;Amanda Selfie;Development;31000;0;0;0;0;0;;Amanda Selfie;Horas de desenvolvimento
App cívico - Desenvolvimento;12/18/2019;2019;12000;Amanda Selfie;Development;12000;0;0;0;0;0;;Amanda Selfie;Horas de desenvolvimento
App cívico - Desenvolvimento;01/22/2020;2020;12000;Amanda Selfie;Development;12000;0;0;0;0;0;;Amanda Selfie;Horas de desenvolvimento
App cívico - Desenvolvimento;02/18/2020;2020;12000;Amanda Selfie;Development;12000;0;0;0;0;0;;Amanda Selfie;Horas de desenvolvimento
App cívico - Hospedagem;04/29/2021;2021;999;Amanda Selfie;Hosting;999;0;0;0;0;0;;Amanda Selfie;Hospedagem (FFM, Fiotec app civico)
App cívico - Hospedagem;05/28/2021;2021;999;Amanda Selfie;Hosting;999;0;0;0;0;0;;Amanda Selfie;Hospedagem (FFM, Fiotec app civico)
App cívico - Hospedagem;07/01/2021;2021;999;Amanda Selfie;Hosting;999;0;0;0;0;0;;Amanda Selfie;Hospedagem (FFM, Fiotec app civico)
App cívico - Hospedagem;01/05/2021;2021;1200;Amanda Selfie;Hosting;1200;0;0;0;0;0;;Amanda Selfie;Hospedagem (FFM, Fiotec app civico)
App cívico - Hospedagem;06/01/2021;2021;999;Amanda Selfie;Hosting;999;0;0;0;0;0;;Amanda Selfie;Hospedagem (FFM, Fiotec app civico)
App cívico - Hospedagem;09/01/2020;2020;999;Amanda Selfie;Hosting;999;0;0;0;0;0;;Amanda Selfie;Hospedagem (FFM, Fiotec app civico)
App cívico - Hospedagem;10/02/2020;2020;999;Amanda Selfie;Hosting;999;0;0;0;0;0;;Amanda Selfie;Hospedagem (FFM, Fiotec app civico)
App cívico - Hospedagem;12/01/2020;2020;2199;Amanda Selfie;Hosting;2199;0;0;0;0;0;;Amanda Selfie;Hospedagem (FFM, Fiotec app civico)
