Type of cost;Costing item class;Description of costing item;"Chatbot strategy
(10 participants)";"Dating apps strategy 
(262 participants)";"Social media strategy
(59 participants)";"Socialization places strategy
(34 participants)";"NGOs strategy
(17 participants)";"Direct referrals strategy
(116 participants)"
Fixed cost;IT equipment;Laptop;5798.8656931;5798.8656931;5798.8656931;5798.8656931;5798.8656931;5798.8656931
Fixed cost;IT equipment;Modem;78.97385486;78.97385486;78.97385486;78.97385486;78.97385486;78.97385486
Fixed cost;IT equipment;SIM cards;3.309703632;3.309703632;3.309703632;3.309703632;3.309703632;3.309703632
Fixed cost;IT equipment;Smartphone;664.80082846;664.80082846;664.80082846;664.80082846;664.80082846;664.80082846
Fixed cost;IT equipment;Speaker;0;0;0;0;0;104.8034934
Fixed cost;IT equipment;Tablet;724.89818344;724.89818344;724.89818344;724.89818344;724.89818344;724.89818344
Fixed cost;Amanda Selfie;Development;134949.78033;0;0;0;0;0
Fixed cost;Amanda Selfie;Hosting;10556.653582;0;0;0;0;0
Fixed cost;Amanda Selfie;Improvement;57233.17034;0;0;0;0;0
Fixed cost;Amanda Selfie;Migration;3480;0;0;0;0;0
Variable cost;Personnel;Content production;635.7072442;0;5631.3771571;2224.975355;0;0
Variable cost;Personnel;Counselor/nurse;529.7560368;0;0;0;44499.50709;0
Variable cost;Personnel;Graphic designer;909.4145299;379.6584931;379.6584931;379.6584931;379.6584931;379.6584931
Variable cost;Personnel;Illustrator;3354.1370636;3354.1370636;3354.1370636;3354.1370636;3354.1370636;3354.1370636
Variable cost;Personnel;Language analyst;17132.74463;0;0;0;0;0
Variable cost;Personnel;LGBTQIA + artists and speakers;2743.04971344;849.73281004;1272.72510574;3132.69659964;849.73281004;849.73281004
Variable cost;Personnel;Marketing;49151.29959;18900.2051393;41948.641387;11503.5246378;953.5608663;15813.2177
Variable cost;Personnel;Photographer;847.609659;0;0;317.8536221;0;0
Variable cost;Personnel;Press officer;5681.103739;0;0;0;0;0
Variable cost;Personnel;Prevention agent;0;54961.35941;3972.000826;21062.47488;0;0
Variable cost;Personnel;Receptionist;0;0;0;0;0;17280.527069
Variable cost;Personnel;Recruitment agent and peer-educators;0;57774.917933;54030.556973;54397.032257;0;0
Variable cost;Personnel;Seamstress;158.9268111;0;0;0;0;0
Variable cost;Personnel;Technical support;463.5330005;463.5330005;463.5330005;463.5330005;463.5330005;1538.937755
Variable cost;Personnel;Writer;0;0;0;57046.51653;0;0
Variable cost;Materials and tests;Condom;1.9800174418;56.39938366;14.3614556082;14.647736509;0.64;25.3639640808
Variable cost;Materials and tests;Disposable enema;34.031549781;969.3644067;246.83751831;251.75797126;11;435.943132607
Variable cost;Materials and tests;Lubricant;0.9900087208;28.19969183;7.1807278046;7.3238682544;0.32;12.6819820384
Variable cost;Materials and tests;Promotional material;2325.629002;589.0977426;589.0977426;6710.4312333;0;11661.6400537
Variable cost;Materials and tests;Testing;215.32689681;6133.432973;1561.80829743;1592.9413453;69.6;2758.33109322
Variable cost;Transportation and dispatch;Transportation;0;0;0;155.36251932;0;1076.2743328
Variable cost;Transportation and dispatch;Dispatch;0;0;0;3522.68684;0;19.5
Variable cost;Subscriptions and boosts;Social media;2636.4199616;1318.288827;6486.905259;0;0;0
Variable cost;Subscriptions and boosts;Office suite;137.09272986;137.09272986;137.09272986;137.09272986;137.09272986;137.09272986
Variable cost;Subscriptions and boosts;Phone plan;369.92480877;369.92480877;369.92480877;369.92480877;369.92480877;369.92480877
