;;;;;;VALORES TOTAIS;;;;;;;;;
DESLOCAMENTO OU CORREIOS;DATA DE UTILIZAÇÃO;ANO;VALOR;CATEGORIA;SUBCATEGORIA;CHATBOT;DATING APPS;SOCIAL MEDIA;SOCIALIZATION PLACES;NGOS;DIRECT REFERRALS;;COMENTÁRIOS;RECURSO;DESPESA
99 Táxi;03/17/2020;2020;9.2;Transportation and dispatch;Transportation;0;0;0;9.2;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Uber deslocamento equipe
99 Táxi;03/17/2020;2020;10.8;Transportation and dispatch;Transportation;0;0;0;10.8;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Uber deslocamento equipe
99 Táxi;03/17/2020;2020;14.03;Transportation and dispatch;Transportation;0;0;0;14.03;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Uber deslocamento equipe
99 Táxi;03/17/2020;2020;7;Transportation and dispatch;Transportation;0;0;0;7;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Uber deslocamento equipe
99 Táxi;02/15/2021;2021;71.08;Transportation and dispatch;Transportation;0;0;0;0;0;71.08;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;02/25/2021;2021;70.77;Transportation and dispatch;Transportation;0;0;0;0;0;70.77;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;03/04/2021;2021;17.18;Transportation and dispatch;Transportation;0;0;0;0;0;17.18;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;03/04/2021;2021;54.09;Transportation and dispatch;Transportation;0;0;0;0;0;54.09;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;04/29/2021;2021;67.08;Transportation and dispatch;Transportation;0;0;0;0;0;67.08;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;06/17/2021;2021;60.67;Transportation and dispatch;Transportation;0;0;0;0;0;60.67;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;06/17/2021;2021;14.13;Transportation and dispatch;Transportation;0;0;0;0;0;14.13;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;06/28/2021;2021;104.97;Transportation and dispatch;Transportation;0;0;0;0;0;104.97;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;07/01/2021;2021;59.35;Transportation and dispatch;Transportation;0;0;0;0;0;59.35;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;07/01/2021;2021;7.61;Transportation and dispatch;Transportation;0;0;0;0;0;7.61;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;07/15/2021;2021;130.65;Transportation and dispatch;Transportation;0;0;0;0;0;130.65;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;07/15/2021;2021;6.57;Transportation and dispatch;Transportation;0;0;0;0;0;6.57;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;07/22/2021;2021;69.16;Transportation and dispatch;Transportation;0;0;0;0;0;69.16;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;07/22/2021;2021;6.57;Transportation and dispatch;Transportation;0;0;0;0;0;6.57;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;07/23/2021;2021;12.53;Transportation and dispatch;Transportation;0;0;0;0;0;12.53;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;07/29/2021;2021;10.4;Transportation and dispatch;Transportation;0;0;0;0;0;10.4;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;07/29/2021;2021;65.56;Transportation and dispatch;Transportation;0;0;0;0;0;65.56;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
99 Táxi;03/17/2020;2020;9.6;Transportation and dispatch;Transportation;0;0;0;9.6;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Uber deslocamento equipe
Correios;06/18/2019;2019;19.8;Transportation and dispatch;Dispatch;0;0;0;19.8;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;06/18/2019;2019;811.8;Transportation and dispatch;Dispatch;0;0;0;811.8;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;07/01/2019;2019;19.9;Transportation and dispatch;Dispatch;0;0;0;19.9;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;07/01/2019;2019;60.5;Transportation and dispatch;Dispatch;0;0;0;60.5;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;09/23/2019;2019;37.4;Transportation and dispatch;Dispatch;0;0;0;37.4;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);
Correios;07/07/2020;2020;109.5;Transportation and dispatch;Dispatch;0;0;0;109.5;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;07/13/2020;2020;84;Transportation and dispatch;Dispatch;0;0;0;84;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;07/14/2020;2020;21;Transportation and dispatch;Dispatch;0;0;0;21;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;07/16/2020;2020;45;Transportation and dispatch;Dispatch;0;0;0;45;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;07/21/2020;2020;45;Transportation and dispatch;Dispatch;0;0;0;45;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;07/27/2020;2020;45;Transportation and dispatch;Dispatch;0;0;0;45;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;08/04/2020;2020;147;Transportation and dispatch;Dispatch;0;0;0;147;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;08/20/2020;2020;133.5;Transportation and dispatch;Dispatch;0;0;0;133.5;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;09/04/2020;2020;90;Transportation and dispatch;Dispatch;0;0;0;90;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;09/10/2020;2020;21;Transportation and dispatch;Dispatch;0;0;0;21;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;10/15/2020;2020;109.5;Transportation and dispatch;Dispatch;0;0;0;109.5;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;10/23/2020;2020;93.7;Transportation and dispatch;Dispatch;0;0;0;93.7;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;11/06/2020;2020;90;Transportation and dispatch;Dispatch;0;0;0;90;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;11/26/2020;2020;63;Transportation and dispatch;Dispatch;0;0;0;63;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;12/18/2020;2020;88.5;Transportation and dispatch;Dispatch;0;0;0;88.5;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;12/21/2020;2020;22.5;Transportation and dispatch;Dispatch;0;0;0;22.5;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;01/27/2021;2021;90;Transportation and dispatch;Dispatch;0;0;0;90;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;02/11/2021;2021;68.3;Transportation and dispatch;Dispatch;0;0;0;68.3;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;02/11/2021;2021;79.6;Transportation and dispatch;Dispatch;0;0;0;79.6;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;02/16/2021;2021;63;Transportation and dispatch;Dispatch;0;0;0;63;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;03/08/2021;2021;43.5;Transportation and dispatch;Dispatch;0;0;0;43.5;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;03/12/2021;2021;21;Transportation and dispatch;Dispatch;0;0;0;21;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;03/25/2021;2021;189.7;Transportation and dispatch;Dispatch;0;0;0;189.7;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;03/31/2021;2021;105;Transportation and dispatch;Dispatch;0;0;0;105;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;04/07/2021;2021;19.5;Transportation and dispatch;Dispatch;0;0;0;0;0;19.5;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Autoteste
Correios;04/13/2021;2021;209.4;Transportation and dispatch;Dispatch;0;0;0;209.4;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;04/15/2021;2021;96;Transportation and dispatch;Dispatch;0;0;0;96;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;04/20/2021;2021;112.8;Transportation and dispatch;Dispatch;0;0;0;112.8;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;05/12/2021;2021;21;Transportation and dispatch;Dispatch;0;0;0;21;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;05/18/2021;2021;84;Transportation and dispatch;Dispatch;0;0;0;84;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Correios;05/31/2021;2021;87;Transportation and dispatch;Dispatch;0;0;0;87;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Autoteste
Uber;06/07/2019;2019;8.51;Transportation and dispatch;Transportation;0;0;0;8.51;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Uber deslocamento equipe
Uber;06/07/2019;2019;15.97;Transportation and dispatch;Transportation;0;0;0;15.97;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Uber deslocamento equipe
Uber;06/07/2019;2019;11.65;Transportation and dispatch;Transportation;0;0;0;11.65;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Uber deslocamento equipe
Uber;06/18/2019;2019;7.5;Transportation and dispatch;Transportation;0;0;0;7.5;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);
Uber;09/27/2019;2019;11.26;Transportation and dispatch;Transportation;0;0;0;11.26;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);
Uber;03/14/2020;2020;12.02;Transportation and dispatch;Transportation;0;0;0;12.02;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Uber deslocamento equipe
Uber;03/15/2020;2020;11.38;Transportation and dispatch;Transportation;0;0;0;11.38;0;0;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Uber deslocamento equipe
Uber;09/22/2020;2020;20.58;Transportation and dispatch;Transportation;0;0;0;0;0;20.58;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
Uber;11/01/2020;2020;22.95;Transportation and dispatch;Transportation;0;0;0;0;0;22.95;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
Uber;11/04/2020;2020;61.83;Transportation and dispatch;Transportation;0;0;0;0;0;61.83;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
Uber;11/04/2020;2020;37.46;Transportation and dispatch;Transportation;0;0;0;0;0;37.46;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
Uber;12/14/2020;2020;26.09;Transportation and dispatch;Transportation;0;0;0;0;0;26.09;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
Uber;12/14/2020;2020;26.25;Transportation and dispatch;Transportation;0;0;0;0;0;26.25;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
Uber;05/08/2021;2021;20.83;Transportation and dispatch;Transportation;0;0;0;20.83;0;0;;;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Uber deslocamento equipe
Uber;05/18/2021;2021;46.56;Transportation and dispatch;Transportation;0;0;0;0;0;46.56;;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Uber deslocamento equipe
