Estratégia;Idade;CTA (n);Casa1 (n);OSIP (n)
Intervenção comunitária presencial em locais de sociabilidade;15;1;0;0
Intervenção comunitária presencial em locais de sociabilidade;16;3;0;0
Intervenção comunitária presencial em locais de sociabilidade;17;10;1;2
Intervenção comunitária presencial em locais de sociabilidade;18;2;2;2
Intervenção comunitária presencial em locais de sociabilidade;19;7;1;3
Criação de demanda em organização não-governamental;15;1;0;0
Criação de demanda em organização não-governamental;16;1;0;1
Criação de demanda em organização não-governamental;17;1;0;0
Criação de demanda em organização não-governamental;18;7;0;0
Criação de demanda em organização não-governamental;19;6;0;0
Intervenção coletiva virtual por meio de redes sociais;15;2;1;0
Intervenção coletiva virtual por meio de redes sociais;16;3;2;1
Intervenção coletiva virtual por meio de redes sociais;17;4;4;3
Intervenção coletiva virtual por meio de redes sociais;18;9;7;1
Intervenção coletiva virtual por meio de redes sociais;19;12;8;2
Uso de aplicativos de encontros;15;2;1;0
Uso de aplicativos de encontros;16;10;3;0
Uso de aplicativos de encontros;17;21;11;2
Uso de aplicativos de encontros;18;54;22;8
Uso de aplicativos de encontros;19;90;22;16
Amanda Selfie (chatbot);15;1;0;0
Amanda Selfie (chatbot);16;1;1;0
Amanda Selfie (chatbot);17;2;2;0
Amanda Selfie (chatbot);18;2;0;0
Amanda Selfie (chatbot);19;1;0;0
Demanda espontânea;15;1;0;1
Demanda espontânea;16;4;0;7
Demanda espontânea;17;7;2;13
Demanda espontânea;18;19;0;10
Demanda espontânea;19;44;3;5
